 Event ID : 19
-14.7247 19.8025 640 320 2337.64
-9.81648 19.8025 658 329 4766.43
-12.2706 18.4534 682 341 10810.1
-7.36237 18.4534 702 351 981.536
-14.7247 14.2027 726 363 66.6026
-12.2706 15.5519 728 364 6216.46
-7.36237 15.5519 734 367 2849.27
-9.81648 14.2027 760 380 15428.1
-12.2706 9.95207 794 397 391.649
-4.90825 14.2027 796 398 664.588
-9.81648 11.3012 796 398 9865.61
-7.36236 9.95207 834 417 11129.4
-19.6329 266.408 842 421 348.605
-29.4494 260.876 846 423 66.8583
-9.81648 5.70141 850 425 524.096
-2.45413 9.95207 850 425 725.161
-4.90825 11.3012 850 425 2191.57
-24.5412 257.907 852 426 200.437
-7.36236 7.05056 852 426 9837.06
-29.4494 249.406 854 427 394.915
-34.3576 240.904 862 431 848.588
-39.2659 243.874 862 431 58.9231
-39.2659 232.403 864 432 398.933
-44.1741 223.902 872 436 628.259
-53.9906 206.899 878 439 65.3709
-49.0824 209.868 880 440 2271.69
-49.0824 215.4 880 440 206.148
-53.9906 201.367 886 443 209.563
-53.9906 189.897 892 446 384.327
-2.45413 7.05056 894 447 3168.52
-4.90825 5.70141 894 447 14766.9
-53.9906 184.364 894 447 403.911
-58.8988 175.863 900 450 188.788
-58.8988 164.393 904 452 405.418
-58.8988 158.861 908 454 1446.18
-58.8988 147.39 912 456 263.83
-56.4447 134.57 920 460 131.65
-58.8988 141.858 920 460 415.592
-4.90825 2.7999 936 468 6331.56
-53.9906 107.717 938 469 213.239
-7.36237 1.45075 940 470 133.083
-51.5365 100.565 940 470 119.163
-1.33514e-05 5.70141 940 470 1194.16
-53.9906 104.816 942 471 63.9427
-51.5365 94.9652 944 472 201.571
-46.6282 77.9626 956 478 128.629
-44.1741 73.7119 958 479 128.054
-46.6282 75.0611 960 480 67.8303
-41.72 66.5598 960 480 140.258
-2.45413 1.45075 966 483 9008.9
-34.3576 48.208 974 487 61.3816
-26.9953 35.456 984 492 63.2626
-19.6329 22.704 986 493 63.2359
-1.33514e-05 2.7999 992 496 4031.02
-1.33514e-05 -2.7999 994 497 1038.55
-2.45413 -1.45075 994 497 2022.6
2.45413 1.45075 994 497 1659.94
2.45413 -1.45075 998 499 926.838
